transaction_id,customer_id,amount,timestamp,transaction_type,counterparty,country
TXN_001,CUST_1001,12500,2024-01-02 09:15:00,card,MERCHANT_A,US
TXN_002,CUST_1001,9800,2024-01-03 09:20:00,card,MERCHANT_A,US
TXN_003,CUST_1001,9500,2024-01-04 09:25:00,card,MERCHANT_A,US
TXN_004,CUST_1001,10000,2024-01-05 09:30:00,card,MERCHANT_A,US
TXN_005,CUST_1001,9200,2024-01-06 09:35:00,card,MERCHANT_A,US
TXN_006,CUST_1001,9300,2024-01-07 09:40:00,card,MERCHANT_A,US
TXN_007,CUST_1002,2500,2024-01-02 10:00:00,transfer,COUNTERPARTY_X,GB
TXN_008,CUST_1002,2600,2024-01-02 11:30:00,transfer,COUNTERPARTY_Y,GB
TXN_009,CUST_1002,2700,2024-01-02 13:00:00,transfer,COUNTERPARTY_Z,GB
TXN_010,CUST_1002,2900,2024-01-02 15:00:00,transfer,COUNTERPARTY_W,GB
TXN_011,CUST_1003,5000,2024-01-08 12:00:00,atm,ATM_1,US
TXN_012,CUST_1003,5100,2024-01-08 12:10:00,atm,ATM_2,US
TXN_013,CUST_1003,4900,2024-01-08 12:20:00,atm,ATM_3,US
TXN_014,CUST_1003,5200,2024-01-08 12:30:00,atm,ATM_4,US
TXN_015,CUST_1003,4800,2024-01-08 12:40:00,atm,ATM_5,US
TXN_016,CUST_1004,1500,2024-01-10 08:00:00,card,MERCHANT_B,DE
TXN_017,CUST_1004,1600,2024-01-10 09:00:00,card,MERCHANT_C,DE
TXN_018,CUST_1004,1700,2024-01-10 10:00:00,card,MERCHANT_D,DE
TXN_019,CUST_1004,1800,2024-01-10 11:00:00,card,MERCHANT_E,DE
TXN_020,CUST_1004,1900,2024-01-10 12:00:00,card,MERCHANT_F,DE
TXN_021,CUST_1005,8200,2024-01-16 07:00:00,transfer,COUNTERPARTY_Q,US
TXN_022,CUST_1005,8300,2024-01-16 07:10:00,transfer,COUNTERPARTY_R,US
TXN_023,CUST_1005,8400,2024-01-16 07:20:00,transfer,COUNTERPARTY_S,US
TXN_024,CUST_1005,8500,2024-01-16 07:30:00,transfer,COUNTERPARTY_T,US
TXN_025,CUST_1005,8600,2024-01-16 07:40:00,transfer,COUNTERPARTY_U,US
